,STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT06,WT08
157,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-06,5.59,0.0,0.0,0.0,,83,65,1.0,,,,,1.0
158,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-07,5.14,0.0,0.0,0.0,,85,64,,,,,,
159,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-08,7.61,0.45,0.0,0.0,,67,52,1.0,,,,,
160,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-09,8.95,0.0,0.0,0.0,,71,54,,,,,,
161,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-10,5.37,0.0,0.0,0.0,,77,57,,,,,,1.0
162,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-11,3.36,0.0,0.0,0.0,,88,59,,,,,,
163,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-12,8.05,0.0,0.0,0.0,,83,62,,,,,,1.0
164,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-13,7.38,0.0,0.0,0.0,,74,57,,,,,,
165,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-14,4.25,0.0,0.0,0.0,,79,58,,,,,,
166,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-15,2.46,0.0,0.0,0.0,,85,62,,,,,,1.0
167,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-16,1.79,0.22,0.0,0.0,,74,65,1.0,,,,,1.0
168,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-17,4.7,0.0,0.0,0.0,,78,63,,,,,,
169,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-18,2.68,0.0,0.0,0.0,,87,61,,,,,,
170,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-19,2.91,0.0,0.0,0.0,,88,66,,,,,,
171,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-20,3.13,0.0,0.0,0.0,,84,64,,,,,,
172,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-21,4.92,0.0,0.0,0.0,,87,72,,,,,,1.0
173,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-22,4.03,0.0,0.0,0.0,,86,68,,,,,,
174,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-23,2.01,0.0,0.0,0.0,,83,69,,,,,,
175,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-24,6.26,0.0,0.0,0.0,,84,67,,,,,,1.0
176,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-25,3.58,0.0,0.0,0.0,,86,64,,,,,,
177,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-26,2.46,0.0,0.0,0.0,,87,67,,,,,,
178,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-27,4.92,0.45,0.0,0.0,,83,67,1.0,,,,,
179,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-28,3.58,0.12,0.0,0.0,,76,68,1.0,,,,,1.0
180,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-29,2.24,0.01,0.0,0.0,,83,67,1.0,,,,,
181,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-06-30,2.91,0.0,0.0,0.0,,85,67,,,,,,
182,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-01,3.36,0.83,0.0,0.0,,79,66,1.0,,,,,1.0
183,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-02,5.37,0.0,0.0,0.0,,76,63,1.0,,,,,
184,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-03,3.13,0.0,0.0,0.0,,78,64,,,,,,
185,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-04,3.13,0.49,0.0,0.0,,84,66,1.0,,,,,
186,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-05,2.91,0.66,0.0,0.0,,86,69,1.0,,,,,
187,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-06,2.46,0.0,0.0,0.0,,91,75,,,,,,
188,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-07,2.01,0.04,0.0,0.0,,89,77,1.0,,,,,1.0
189,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-08,5.37,0.08,0.0,0.0,,86,67,1.0,,,,,1.0
190,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-09,4.03,0.53,0.0,0.0,,72,65,1.0,,,,,1.0
191,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-10,4.25,0.0,0.0,0.0,,80,66,1.0,,,,,
192,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-11,3.36,0.0,0.0,0.0,,81,65,,,,,,
193,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-12,4.25,0.0,0.0,0.0,,82,68,,,,,,
194,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-13,4.7,0.0,0.0,0.0,,85,71,,,,,,
195,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-14,2.91,0.62,0.0,0.0,,88,73,1.0,,,,,1.0
196,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-15,4.47,0.0,0.0,0.0,,88,79,,,,,,
197,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-16,4.25,0.0,0.0,0.0,,90,75,,,,,,1.0
198,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-17,2.68,0.0,0.0,0.0,,89,75,,,,,,
199,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-18,5.82,0.35,0.0,0.0,,93,72,1.0,,,,,
200,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-19,4.92,0.0,0.0,0.0,,83,73,,,,,,
201,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-20,3.13,0.0,0.0,0.0,,85,68,,,,,,
202,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-21,5.14,0.0,0.0,0.0,,90,71,,,,,,
203,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-22,6.49,0.0,0.0,0.0,,94,74,,,,,,1.0
204,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-23,4.92,0.0,0.0,0.0,,96,80,,,,,,
205,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-24,4.03,0.0,0.0,0.0,,94,75,,,,,,
206,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-25,3.36,1.0,0.0,0.0,,93,73,1.0,,,,,
207,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-26,4.25,0.0,0.0,0.0,,89,72,1.0,,,,,
208,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-27,2.01,0.0,0.0,0.0,,91,74,,,,,,
209,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-28,3.13,0.0,0.0,0.0,,95,75,1.0,,,,,1.0
210,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-29,4.25,1.09,0.0,0.0,,85,69,1.0,,,,,1.0
211,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-30,3.58,0.25,0.0,0.0,,84,73,1.0,,,,,1.0
212,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07-31,4.25,1.08,0.0,0.0,,78,71,1.0,,,,,1.0
213,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-08-01,4.92,0.0,0.0,0.0,,80,69,1.0,,,,,
214,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-08-02,6.93,0.0,0.0,0.0,,79,68,,,,,,
